                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.48072,                0.87144,                0.41022,                0.94712,                0.92398,                0.80382,                0.87991,                0.73344,                0.92861,                0.80764,                0.88161,                0.70583,                0.65154,                  1.386,                0.55002,                 1.1335,              0.0010199,              0.0010199,              0.0010199
                    102,                0.47514,                0.86675,                 0.4034,                0.94865,                0.88415,                0.82637,                0.88688,                0.73919,                0.89632,                0.82548,                0.88394,                 0.7157,                0.63625,                 1.3368,                0.54092,                 1.1111,                0.00101,                0.00101,                0.00101
                    103,                0.47354,                0.85163,                0.39913,                0.94831,                0.91809,                0.80127,                0.87888,                0.71981,                0.92812,                0.80603,                 0.8798,                0.70294,                0.68983,                 1.4444,                0.55508,                 1.1753,              0.0010001,              0.0010001,              0.0010001
                    104,                0.47271,                0.85903,                 0.4021,                0.94524,                0.91204,                0.79873,                0.87675,                 0.7176,                0.92153,                0.80788,                 0.8802,                 0.7008,                0.66763,                 1.4047,                0.57632,                 1.1598,              0.0009902,              0.0009902,              0.0009902
                    105,                0.46451,                0.84458,                0.40302,                0.94304,                0.89477,                 0.8051,                0.86964,                0.72043,                0.91232,                0.81529,                0.88062,                0.70171,                0.64768,                 1.3928,                0.57704,                 1.1393,              0.0009803,              0.0009803,              0.0009803
                    106,                0.45834,                0.83589,                0.39143,                0.93933,                0.88245,                0.82038,                0.88034,                0.72833,                0.93198,                 0.8051,                0.89093,                0.71214,                0.65429,                 1.3501,                0.56242,                 1.1274,              0.0009704,              0.0009704,              0.0009704
                    107,                0.46389,                0.84419,                0.38929,                0.94097,                0.91116,                0.80255,                0.87786,                0.73374,                0.90767,                0.82651,                0.88489,                0.71683,                0.64336,                 1.3989,                0.55639,                 1.1423,              0.0009605,              0.0009605,              0.0009605
                    108,                 0.4748,                0.85142,                   0.39,                0.94689,                0.89033,                0.80764,                0.86864,                0.72762,                0.90368,                0.82038,                0.88147,                0.70911,                0.66019,                 1.4121,                0.57884,                 1.1348,              0.0009506,              0.0009506,              0.0009506
                    109,                 0.4526,                 0.8356,                0.38201,                0.93287,                0.90878,                0.81226,                0.87052,                0.72743,                0.92517,                0.81903,                0.88281,                0.70961,                0.64149,                 1.3755,                0.53719,                 1.1283,              0.0009407,              0.0009407,              0.0009407
                    110,                 0.4567,                0.83569,                0.38188,                0.93648,                0.92159,                0.79354,                0.87366,                0.73452,                0.93341,                0.80351,                0.87837,                0.71105,                0.62228,                 1.3946,                0.54882,                 1.1168,              0.0009308,              0.0009308,              0.0009308
                    111,                0.44871,                0.81885,                0.37772,                0.93264,                0.89622,                0.81406,                0.87665,                0.73226,                0.92845,                0.80637,                0.87638,                0.71572,                0.63353,                 1.4087,                 0.5322,                 1.1257,              0.0009209,              0.0009209,              0.0009209
                    112,                0.46245,                0.82953,                0.38577,                0.93616,                0.90093,                0.81095,                0.86968,                 0.7238,                0.90658,                0.81589,                 0.8762,                0.70224,                0.63296,                 1.3858,                0.53676,                 1.1277,               0.000911,               0.000911,               0.000911
                    113,                0.46077,                0.83162,                  0.382,                0.93609,                0.90972,                 0.8087,                0.87765,                0.73039,                0.93273,                0.79873,                0.88457,                0.71336,                0.64535,                 1.3713,                0.53735,                 1.1164,              0.0009011,              0.0009011,              0.0009011
                    114,                0.45279,                0.81046,                0.37776,                0.93118,                0.93668,                0.79147,                0.88949,                0.74814,                0.93924,                0.79363,                0.88475,                0.72564,                0.62149,                 1.3581,                0.53619,                 1.0974,              0.0008912,              0.0008912,              0.0008912
                    115,                0.45135,                0.81499,                0.37775,                0.93567,                0.89288,                0.80637,                0.86864,                0.73194,                0.92549,                 0.8051,                0.87382,                0.71057,                0.63075,                  1.379,                0.56345,                 1.1376,              0.0008813,              0.0008813,              0.0008813
                    116,                0.45291,                0.80047,                0.37384,                0.93337,                0.90073,                0.82166,                0.88025,                0.73653,                0.90383,                0.82606,                0.88011,                0.71479,                0.66021,                 1.3355,                0.55473,                 1.1445,              0.0008714,              0.0008714,              0.0008714
                    117,                0.44503,                0.80536,                0.37198,                0.92918,                0.88368,                0.83057,                0.88435,                 0.7395,                0.90143,                0.84713,                 0.8951,                0.71656,                0.63749,                 1.3593,                0.52297,                 1.1206,              0.0008615,              0.0008615,              0.0008615
                    118,                0.44378,                0.79495,                0.36635,                0.93639,                 0.9035,                0.80637,                0.87374,                0.74103,                0.92348,                 0.8242,                0.89295,                0.72281,                0.62901,                 1.3404,                0.53782,                 1.1203,              0.0008516,              0.0008516,              0.0008516
                    119,                0.44806,                0.80476,                0.36278,                0.93035,                0.91831,                0.78763,                0.87748,                0.74203,                0.93092,                0.80255,                0.88871,                0.72016,                0.61394,                 1.3551,                0.52664,                 1.1039,              0.0008417,              0.0008417,              0.0008417
                    120,                0.43438,                0.78256,                0.36701,                0.92702,                0.90172,                0.80764,                0.88259,                0.74511,                0.90596,                0.81911,                0.89024,                0.72187,                 0.6381,                 1.3819,                0.54793,                 1.1189,              0.0008318,              0.0008318,              0.0008318
                    121,                 0.4496,                0.80501,                0.36869,                0.92833,                0.91516,                0.79704,                0.87519,                0.74104,                0.93658,                 0.8089,                0.89151,                0.71865,                0.64099,                 1.3668,                0.56119,                 1.1194,              0.0008219,              0.0008219,              0.0008219
                    122,                0.43452,                0.78853,                0.35946,                0.92477,                 0.9091,                 0.8026,                0.88057,                0.74445,                0.92296,                0.82418,                0.89374,                0.72404,                 0.6349,                 1.3497,                0.55001,                 1.1205,               0.000812,               0.000812,               0.000812
                    123,                0.44797,                0.79404,                0.36908,                0.93194,                0.89041,                0.80733,                0.87389,                0.73862,                0.90084,                0.83185,                0.88999,                 0.7152,                0.61871,                 1.3481,                0.53553,                  1.118,              0.0008021,              0.0008021,              0.0008021
                    124,                0.43162,                0.78316,                0.36351,                0.92389,                0.91073,                0.79873,                0.87975,                0.74257,                0.92204,                0.81274,                 0.8898,                0.72008,                0.61146,                 1.3256,                0.52299,                 1.1129,              0.0007922,              0.0007922,              0.0007922
                    125,                0.44367,                0.80287,                0.35996,                0.93162,                0.90072,                0.80898,                0.88093,                0.74553,                0.91304,                 0.8242,                0.89346,                0.71944,                0.61417,                 1.3277,                0.54599,                 1.0869,              0.0007823,              0.0007823,              0.0007823
                    126,                0.42889,                0.77509,                0.35002,                0.92314,                0.91837,                0.80258,                0.88814,                0.75611,                0.93011,                0.81371,                0.90014,                0.73112,                0.61559,                 1.3259,                0.52351,                 1.1084,              0.0007724,              0.0007724,              0.0007724
                    127,                 0.4375,                0.79211,                0.36071,                0.92836,                0.88857,                 0.8228,                0.88663,                0.75186,                0.91375,                 0.8242,                0.89361,                0.72776,                0.63477,                 1.3645,                 0.5167,                 1.1275,              0.0007625,              0.0007625,              0.0007625
                    128,                0.42687,                0.77473,                0.35069,                0.92115,                0.87935,                0.81911,                0.88054,                0.73897,                0.89053,                0.81783,                0.88394,                0.72483,                0.66509,                 1.4242,                0.56232,                 1.1476,              0.0007526,              0.0007526,              0.0007526
                    129,                 0.4228,                0.76702,                0.34504,                0.92067,                0.90042,                0.80631,                0.88201,                0.74185,                0.91507,                0.81274,                0.88297,                0.71865,                0.63281,                 1.4046,                0.54365,                  1.123,              0.0007427,              0.0007427,              0.0007427
                    130,                0.42569,                0.78208,                0.34794,                0.91704,                0.84972,                0.84204,                0.88135,                0.74592,                0.86386,                0.85605,                0.88947,                0.72372,                0.62758,                 1.3973,                0.51885,                 1.1149,              0.0007328,              0.0007328,              0.0007328
                    131,                0.43147,                0.76888,                0.34999,                0.92306,                0.87682,                0.82293,                 0.8758,                0.74103,                0.91204,                0.81274,                0.88706,                0.72301,                0.62268,                 1.4028,                0.52113,                 1.1018,              0.0007229,              0.0007229,              0.0007229
                    132,                0.42507,                0.77543,                0.35311,                0.92091,                0.87968,                 0.8196,                 0.8743,                 0.7329,                0.89199,                0.83106,                0.88809,                0.71952,                0.65657,                 1.4084,                  0.544,                 1.1415,               0.000713,               0.000713,               0.000713
                    133,                0.41542,                 0.7501,                0.34195,                0.91461,                0.88264,                0.81911,                0.87686,                0.73676,                0.90466,                0.82194,                0.88476,                0.72117,                0.65212,                 1.3895,                0.54174,                 1.1617,              0.0007031,              0.0007031,              0.0007031
                    134,                0.42063,                0.75437,                0.34467,                0.91959,                0.90897,                0.80892,                0.86956,                0.73595,                0.92358,                0.82166,                0.88001,                0.71891,                0.66055,                 1.4322,                0.52815,                 1.1534,              0.0006932,              0.0006932,              0.0006932
                    135,                0.41365,                0.73357,                 0.3389,                0.91674,                0.92137,                0.80382,                0.87403,                0.73422,                0.93452,                0.81529,                0.87903,                0.71655,                0.63855,                 1.4662,                0.52742,                 1.1313,              0.0006833,              0.0006833,              0.0006833
                    136,                0.41701,                0.75077,                0.34485,                0.91464,                0.90095,                0.81783,                0.87023,                0.73173,                0.90478,                0.82803,                0.87132,                0.71658,                0.64968,                 1.4239,                 0.5344,                 1.1393,              0.0006734,              0.0006734,              0.0006734
                    137,                0.41594,                0.75561,                0.34036,                0.91478,                0.91282,                0.80637,                0.87524,                0.73831,                0.91757,                 0.8225,                0.88276,                0.72464,                0.65331,                 1.3639,                0.52223,                 1.1513,              0.0006635,              0.0006635,              0.0006635
                    138,                0.41164,                0.73572,                0.33428,                0.91062,                0.89528,                0.81683,                0.87599,                0.72396,                0.93328,                0.80255,                0.88455,                0.71531,                0.65111,                 1.3776,                0.54053,                 1.1387,              0.0006536,              0.0006536,              0.0006536
                    139,                0.40247,                0.72625,                0.32735,                0.90334,                0.88684,                0.82038,                0.87042,                0.73158,                0.89829,                0.83259,                0.87665,                0.72059,                 0.6503,                 1.4079,                0.52416,                 1.1505,              0.0006437,              0.0006437,              0.0006437
                    140,                0.41083,                0.75148,                0.33112,                0.90888,                0.87551,                0.81525,                0.85854,                 0.7171,                0.91765,                0.80127,                0.87037,                0.70575,                0.66655,                 1.4096,                0.57469,                 1.1551,              0.0006338,              0.0006338,              0.0006338
                    141,                 0.4053,                0.72953,                0.32798,                0.91173,                0.92351,                0.78854,                0.87013,                0.73319,                0.93553,                0.79873,                0.88139,                0.71852,                0.63941,                 1.3881,                0.55655,                 1.1358,              0.0006239,              0.0006239,              0.0006239
                    142,                0.41073,                 0.7377,                0.33325,                0.91524,                0.87799,                0.82548,                0.86342,                0.72661,                0.89011,                 0.8358,                0.87524,                0.71523,                0.63985,                 1.4503,                0.55248,                 1.1355,               0.000614,               0.000614,               0.000614
                    143,                0.39823,                  0.725,                0.32391,                0.90688,                0.88841,                0.82147,                0.86573,                0.73091,                0.90128,                 0.8293,                0.87619,                 0.7132,                0.64121,                 1.4282,                0.54882,                 1.1307,              0.0006041,              0.0006041,              0.0006041
                    144,                0.40788,                0.73525,                0.32844,                 0.9105,                 0.9181,                0.79873,                0.86694,                 0.7205,                0.92846,                0.80764,                0.87258,                0.71064,                0.65646,                 1.4115,                0.53687,                 1.1522,              0.0005942,              0.0005942,              0.0005942
                    145,                0.39561,                0.72033,                0.32136,                0.91082,                0.91686,                0.79745,                0.87285,                0.73157,                0.92418,                0.80744,                0.87798,                0.71641,                0.64659,                 1.4473,                0.53828,                 1.1446,              0.0005843,              0.0005843,              0.0005843
                    146,                0.39621,                0.72243,                0.32437,                0.90718,                0.89123,                0.82038,                0.87177,                0.73321,                0.93458,                0.79745,                0.87472,                0.71429,                0.62958,                 1.4444,                0.52808,                 1.1249,              0.0005744,              0.0005744,              0.0005744
                    147,                0.40152,                0.71979,                0.31946,                0.90706,                0.87882,                0.83312,                0.86641,                0.72695,                 0.9455,                 0.7949,                0.87198,                0.71231,                0.63258,                 1.4535,                0.52839,                 1.1263,              0.0005645,              0.0005645,              0.0005645
                    148,                0.40495,                 0.7374,                0.32769,                0.90895,                0.90577,                0.82044,                0.86673,                0.73062,                0.91261,                0.82482,                0.87071,                0.71359,                 0.6162,                 1.4167,                0.50534,                 1.1164,              0.0005546,              0.0005546,              0.0005546
                    149,                0.39897,                0.72212,                 0.3195,                0.90986,                0.91336,                0.80571,                0.87155,                0.72736,                0.92967,                0.81146,                0.87689,                0.71304,                 0.6276,                 1.4065,                0.51884,                 1.1367,              0.0005447,              0.0005447,              0.0005447
                    150,                0.39518,                0.71517,                0.31377,                0.90329,                0.89079,                0.81783,                0.87918,                0.74155,                0.89475,                0.83822,                0.88997,                0.72118,                0.61675,                 1.4039,                0.49668,                 1.1315,              0.0005348,              0.0005348,              0.0005348
                    151,                0.39689,                 0.7255,                 0.3224,                0.90313,                 0.9188,                0.79236,                0.87348,                0.73523,                0.91611,                0.81783,                0.88583,                0.71935,                0.63178,                 1.4318,                0.51175,                 1.1303,              0.0005249,              0.0005249,              0.0005249
                    152,                0.38571,                0.70665,                0.31042,                0.90027,                0.92492,                0.79108,                0.87806,                0.73788,                0.90343,                0.81783,                0.88253,                0.72256,                0.63409,                  1.407,                0.53876,                 1.1286,               0.000515,               0.000515,               0.000515
                    153,                0.38813,                0.71076,                0.31107,                0.90152,                0.90355,                0.80892,                0.87922,                0.73719,                0.91541,                0.81332,                0.88021,                0.72172,                0.64769,                 1.4136,                0.53851,                 1.1429,              0.0005051,              0.0005051,              0.0005051
                    154,                0.38445,                0.69518,                 0.3096,                0.90026,                0.90643,                0.80211,                0.87658,                0.73229,                0.91729,                0.80764,                0.87847,                0.71773,                0.64491,                 1.4286,                0.53208,                 1.1507,              0.0004952,              0.0004952,              0.0004952
                    155,                0.39143,                 0.7094,                0.30695,                0.90172,                0.89262,                0.81656,                0.87261,                0.73448,                0.93417,                0.80127,                0.88253,                0.71744,                0.61975,                 1.4298,                0.52619,                  1.122,              0.0004853,              0.0004853,              0.0004853
                    156,                0.38987,                0.70996,                0.30855,                0.90044,                0.90409,                0.80637,                0.87192,                0.73477,                0.92576,                0.81014,                 0.8797,                 0.7254,                0.63974,                 1.4136,                0.52379,                 1.1433,              0.0004754,              0.0004754,              0.0004754
                    157,                0.38738,                0.70851,                0.30682,                0.89658,                0.89822,                0.80943,                0.87039,                 0.7335,                0.91767,                0.80932,                0.87862,                0.71898,                0.63235,                 1.4401,                0.52996,                 1.1448,              0.0004655,              0.0004655,              0.0004655
                    158,                0.38132,                0.69459,                0.30415,                0.89679,                0.91544,                    0.8,                0.86896,                0.73423,                0.93205,                0.80382,                0.87795,                0.71551,                0.61872,                 1.4095,                0.54066,                  1.134,              0.0004556,              0.0004556,              0.0004556
                    159,                0.37965,                0.69642,                0.30069,                0.89514,                0.89443,                0.80764,                0.86923,                0.73314,                0.91482,                0.80722,                0.87581,                0.71393,                0.62227,                 1.4326,                0.52629,                 1.1348,              0.0004457,              0.0004457,              0.0004457
                    160,                0.38192,                0.69187,                 0.3052,                0.89824,                 0.8927,                0.80545,                0.86164,                0.73093,                0.90265,                0.81499,                0.87294,                0.71349,                0.61722,                 1.4302,                0.52739,                 1.1179,              0.0004358,              0.0004358,              0.0004358
                    161,                0.37886,                0.69621,                0.30285,                 0.8945,                0.90157,                0.80507,                0.85742,                0.72799,                0.91726,                0.81909,                0.87565,                 0.7139,                0.61592,                 1.4423,                0.52587,                  1.113,              0.0004259,              0.0004259,              0.0004259
                    162,                0.38625,                0.69196,                0.30536,                0.90116,                0.87555,                0.82452,                0.85984,                0.72734,                0.89416,                0.83944,                0.87554,                0.71433,                0.62438,                 1.4161,                 0.5404,                  1.136,               0.000416,               0.000416,               0.000416
                    163,                0.37821,                0.67947,                0.29908,                0.89502,                0.91557,                0.78739,                0.86204,                0.72896,                0.93344,                0.80255,                0.87525,                0.71226,                0.61917,                 1.4173,                0.53614,                 1.1271,              0.0004061,              0.0004061,              0.0004061
                    164,                  0.373,                0.68398,                0.29529,                 0.8928,                0.91911,                0.79605,                0.86971,                0.73213,                0.94222,                0.81018,                0.88434,                0.71902,                0.61604,                 1.4789,                0.53359,                 1.1314,              0.0003962,              0.0003962,              0.0003962
                    165,                0.37709,                0.69563,                 0.2999,                0.90096,                0.90492,                0.80255,                0.86915,                0.73856,                0.92045,                0.81065,                0.88171,                0.72095,                0.61551,                  1.426,                0.54244,                 1.1202,              0.0003863,              0.0003863,              0.0003863
                    166,                0.37509,                0.68902,                0.29711,                0.89434,                 0.9095,                0.79371,                0.87271,                0.73748,                0.92884,                0.80255,                0.88279,                0.72336,                0.61032,                 1.4486,                0.54575,                 1.1186,              0.0003764,              0.0003764,              0.0003764
                    167,                0.37367,                0.69023,                0.29794,                0.89059,                0.89834,                0.80127,                0.87492,                 0.7438,                0.91405,                0.81529,                0.88554,                0.72616,                0.61863,                 1.4703,                 0.5299,                 1.1325,              0.0003665,              0.0003665,              0.0003665
                    168,                0.37995,                0.69237,                0.29475,                0.89734,                0.92395,                0.78929,                0.87347,                0.74234,                 0.9374,                0.80127,                0.88764,                 0.7243,                0.62253,                 1.4296,                0.53026,                 1.1375,              0.0003566,              0.0003566,              0.0003566
                    169,                  0.372,                0.68725,                0.29002,                0.88963,                0.92334,                0.78599,                0.86648,                0.73516,                 0.9146,                0.81859,                0.87683,                0.72124,                0.62086,                 1.4489,                0.52797,                 1.1345,              0.0003467,              0.0003467,              0.0003467
                    170,                0.37323,                0.69921,                0.29099,                0.89413,                 0.9055,                0.81401,                0.88111,                0.74508,                0.91019,                0.82293,                0.88174,                0.72852,                0.60396,                 1.4835,                0.50986,                 1.1131,              0.0003368,              0.0003368,              0.0003368
                    171,                0.37123,                0.67553,                0.28801,                0.89247,                 0.8953,                0.81703,                0.87012,                0.73536,                0.90947,                0.81019,                0.87155,                0.72067,                0.61726,                 1.4537,                0.51042,                 1.1316,              0.0003269,              0.0003269,              0.0003269
                    172,                0.36574,                0.67354,                0.28407,                0.89225,                0.88846,                0.81172,                0.86551,                0.73547,                0.92226,                0.80101,                0.87777,                0.71981,                0.62691,                 1.4504,                0.51791,                 1.1438,               0.000317,               0.000317,               0.000317
                    173,                 0.3592,                0.66108,                0.28191,                0.89028,                0.90738,                0.80637,                0.87187,                 0.7362,                0.92007,                 0.8051,                0.87661,                0.72161,                0.61987,                 1.4643,                0.52431,                 1.1366,              0.0003071,              0.0003071,              0.0003071
                    174,                0.36784,                0.67452,                 0.2861,                0.89279,                0.91557,                0.80892,                0.87786,                0.73446,                0.92381,                0.81274,                0.87677,                0.72019,                0.62781,                  1.482,                0.51525,                 1.1449,              0.0002972,              0.0002972,              0.0002972
                    175,                0.36484,                0.65624,                0.28728,                0.89374,                0.89628,                0.81783,                0.87053,                0.73189,                0.92676,                0.79873,                0.87568,                0.71353,                 0.6274,                  1.474,                0.51881,                 1.1373,              0.0002873,              0.0002873,              0.0002873
                    176,                0.35537,                0.65468,                0.28085,                0.88785,                0.90479,                0.81113,                0.86338,                0.72589,                0.90943,                0.81529,                0.86909,                0.70815,                0.62243,                 1.4998,                0.51862,                 1.1326,              0.0002774,              0.0002774,              0.0002774
                    177,                0.35516,                0.65305,                0.27624,                0.88595,                0.90869,                0.81146,                0.86197,                0.72966,                  0.916,                0.81783,                0.87311,                0.71311,                0.62169,                 1.5052,                0.52436,                 1.1399,              0.0002675,              0.0002675,              0.0002675
                    178,                0.35951,                0.67116,                0.28018,                0.89166,                0.91511,                0.79363,                 0.8628,                0.73119,                 0.9289,                0.79887,                0.87495,                0.71163,                  0.621,                 1.5221,                0.51733,                 1.1367,              0.0002576,              0.0002576,              0.0002576
                    179,                0.35717,                0.66883,                0.27439,                0.88748,                0.92053,                0.79682,                0.86272,                0.73257,                0.93127,                 0.8051,                0.87459,                0.71287,                0.62231,                 1.5037,                0.52547,                 1.1384,              0.0002477,              0.0002477,              0.0002477
                    180,                0.35356,                0.64855,                0.27256,                0.88744,                0.91193,                0.80764,                0.86427,                0.73159,                0.93498,                0.80595,                0.87109,                0.71044,                0.63521,                 1.4792,                0.53579,                 1.1489,              0.0002378,              0.0002378,              0.0002378
                    181,                0.35111,                 0.6522,                0.27634,                0.88527,                0.91822,                0.79873,                0.86157,                0.73173,                0.93323,                0.81019,                0.87258,                 0.7145,                0.62204,                 1.4574,                0.53309,                 1.1279,              0.0002279,              0.0002279,              0.0002279
                    182,                0.34947,                0.64231,                0.27519,                0.88719,                 0.9211,                    0.8,                0.86999,                0.73689,                0.93174,                0.80382,                0.87702,                0.72061,                0.64144,                 1.4537,                0.52611,                 1.1447,               0.000218,               0.000218,               0.000218
                    183,                0.35576,                 0.6576,                0.27511,                0.88548,                0.91292,                0.80134,                0.86993,                0.73831,                0.92163,                0.80899,                0.88091,                0.72178,                0.62976,                 1.4656,                0.51498,                 1.1352,              0.0002081,              0.0002081,              0.0002081
                    184,                0.35107,                0.64201,                0.27703,                0.88576,                0.91626,                0.80382,                0.87107,                0.74125,                0.92404,                0.81274,                0.88255,                0.72584,                0.61988,                  1.487,                0.51436,                 1.1259,              0.0001982,              0.0001982,              0.0001982
                    185,                0.34788,                0.64321,                0.27272,                0.88304,                0.92031,                0.79745,                0.86551,                0.73743,                0.93105,                 0.8085,                  0.879,                0.72155,                0.62017,                 1.4971,                 0.5182,                 1.1238,              0.0001883,              0.0001883,              0.0001883
                    186,                0.35403,                 0.6535,                0.27153,                0.88764,                0.90367,                0.80382,                0.86894,                0.73923,                0.92123,                0.80454,                0.87753,                0.72366,                0.62055,                 1.4788,                0.51211,                 1.1243,              0.0001784,              0.0001784,              0.0001784
                    187,                0.34709,                0.63685,                0.27105,                0.88557,                0.91248,                0.79689,                 0.8722,                 0.7419,                0.92269,                0.80581,                0.88194,                0.72584,                0.61509,                 1.4792,                0.51043,                 1.1199,              0.0001685,              0.0001685,              0.0001685
                    188,                0.34775,                0.63111,                0.26285,                0.88316,                0.89931,                0.80779,                 0.8687,                0.74005,                0.92758,                0.80382,                0.87936,                0.72574,                0.61418,                 1.4763,                0.51614,                 1.1185,              0.0001586,              0.0001586,              0.0001586
                    189,                0.34253,                0.63731,                0.26887,                0.88093,                0.90985,                0.80764,                0.86979,                0.74418,                0.91737,                0.81401,                0.87851,                 0.7278,                0.60012,                 1.4737,                0.50654,                 1.1117,              0.0001487,              0.0001487,              0.0001487
                    190,                 0.3478,                0.64953,                0.27039,                0.88155,                0.88938,                0.81656,                0.86949,                0.74578,                0.90129,                0.82038,                0.87876,                0.72924,                0.60348,                 1.4593,                0.51044,                 1.1159,              0.0001388,              0.0001388,              0.0001388
                    191,                0.25582,                0.53036,                0.18306,                0.82513,                 0.8907,                0.82166,                 0.8698,                 0.7467,                 0.9049,                0.82423,                0.87953,                 0.7308,                  0.605,                 1.4557,                0.50699,                 1.1286,              0.0001289,              0.0001289,              0.0001289
                    192,                0.25342,                0.52259,                0.17714,                0.82608,                0.91093,                0.80775,                0.87584,                0.75404,                0.92186,                 0.8115,                0.88199,                0.73598,                0.60157,                 1.4415,                0.50804,                 1.1296,               0.000119,               0.000119,               0.000119
                    193,                0.25787,                0.52708,                 0.1792,                0.83131,                0.91952,                0.80255,                0.88223,                0.75828,                0.93257,                0.81146,                0.88769,                 0.7403,                0.60018,                 1.4296,                0.50144,                 1.1239,              0.0001091,              0.0001091,              0.0001091
                    194,                0.25026,                0.51872,                0.17858,                 0.8285,                0.91587,                0.81656,                0.88425,                0.76035,                0.92309,                0.82293,                0.89025,                0.74599,                 0.6037,                 1.4107,                0.49999,                 1.1305,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                0.24789,                0.52024,                 0.1746,                0.82072,                0.91718,                0.81146,                0.88869,                0.76357,                0.92221,                0.81552,                0.89391,                0.74985,                 0.6082,                 1.4375,                0.49625,                 1.1355,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                0.24398,                0.51311,                0.17311,                0.82204,                0.92163,                0.80892,                0.88727,                0.76534,                0.92818,                0.81529,                0.89429,                0.74856,                0.61276,                 1.4479,                0.49101,                 1.1425,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                 0.2465,                0.51175,                0.17328,                0.82398,                0.91768,                 0.8094,                0.88501,                0.76508,                 0.9249,                0.81577,                 0.8943,                0.74842,                0.60434,                 1.4544,                0.49573,                 1.1282,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                0.24142,                0.51225,                0.17087,                0.81866,                0.92114,                 0.8035,                0.88285,                0.76647,                0.92528,                0.81019,                0.89116,                0.74689,                 0.5982,                 1.4576,                0.49679,                 1.1211,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.24002,                0.50661,                0.17101,                0.81899,                0.91507,                0.81401,                0.88707,                 0.7671,                0.91972,                0.81729,                0.89207,                0.74979,                0.59331,                 1.4689,                0.48733,                 1.1206,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                  0.238,                0.50729,                0.16941,                0.82291,                0.91809,                 0.8139,                0.88797,                0.76927,                0.92621,                0.81552,                0.89322,                0.75206,                0.59443,                 1.4596,                0.48795,                 1.1196,               3.98e-05,               3.98e-05,               3.98e-05
